,Latitude,Longitude,pH,EC,N,P,K,B,Zn,Fe,OM,Texture
Shambatpur I,34.1558364,72.116132,8.14,0.4,1.88,6.66,160,0.4,0.13,0.27,1.79,Silt Loam
Shambatpur II,34.1577701,72.1102149,8.03,0.34,2.66,7.07,162,0.22,0.28,0.21,1.38,
Katlang-1-I,34.3445335,72.0436872,7.9,0.33,1.5861,6.740884,140,0.67,0.36,0.58,1.79,Silt Loam
Katlang I-II,34.3669391,72.0417445,8.06,0.209,1.363702,2.40344,144,0.31,0.21,0.73,1.73,
Katlang-2-I,34.3414922,72.0613999,7.79,0.355,1.505228,6.226272,120,0.79,0.33,0.4,1.73,
Kharki I ,34.4753854,72.0024594,7.9,0.225,2.566673,7.145222,134,0.48,0.22,0.6,1.14,
Lund Khur I,34.3815747,72.0017527,7.93,0.261,1.404138,1.3007,96,0.66,0.18,0.68,1.41,
Lund Khur II,34.3915427,71.9943566,7.97,0.218,2.647545,3.984034,98,0.56,0.19,0.41,1.41,
Aloo I,34.4279815,72.0459938,7.88,0.211,1.303048,6.005724,102,0.31,0.26,0.88,1.07,silty clay loam
Aloo II,34.4302102,72.0505499,8.14,0.216,2.39482,2.293166,148,0.48,0.18,0.78,0.69,Silt Loam
Qasmi I ,34.26427405,72.22050656,8.1,0.235,1.232285,6.152756,118,0.51,0.25,0.98,1.48,
Qasmi II,34.26519882,72.2290094,7.92,0.238,1.35,6.741,178,0.48,0.26,0.72,1.03,
Kati Garhi I,34.3276802,72.0395456,7.98,0.236,3.941497,9.57125,266,0.57,0.48,0.49,0.72,
Kati Garhi II,34.3602228,72.0295827,7.81,0.232,2.93,5.932,154,0.54,0.27,0.9,1.38,
Jamal garhi I ,34.306717,72.082304,7.99,0.205,1.363702,4.60892,174,0.47,0.25,0.86,1.2,
Jamal garhi II,34.327179,72.049535,7.74,0.276,2.73,6.042,248,0.76,0.24,0.76,1.5,
Mian Issa I ,34.400034,71.993807,7.86,0.219,1.444574,8.615542,196,0.37,0.29,0.92,1.2,silty clay loam
Mian Issa II ,34.426882,71.935692,7.7,0.249,2.13,6.962,164,0.56,0.21,0.58,0.51,
Sawal dher I ,34.1816493,72.093264,7.77,0.286,2.465583,1.75916,168,0.57,0.23,0.4,0.86,
Pir saddo I ,34.3324744,71.8657089,8.47,0.194,2.46,9.341,192,0.45,0.25,0.21,0.86,silty clay loam
Pir saddo II ,34.3298095,71.86662911,8.32,0.292,0.54,2.162,116,0.31,0.26,0.52,0.96,
